xflr5 v6.59

 Calculated polar for: NACA 0014

 1 1 Reynolds number fixed          Mach number fixed         

 xtrf =   1.000 (top)        1.000 (bottom)
 Mach =   0.600     Re =     0.080 e 6     Ncrit =   9.000

alpha,CL,CD,CDp,Cm,Top Xtr,Bot Xtr,Cpmin,Chinge,XCp
-10.000,-0.5230, 0.11371, 0.10662,-0.0152,1.0000,0.1538,-1.7773, 0.0000, 0.0000, 0.0000, 0.2054
 -9.500,-0.5387, 0.10237, 0.09532,-0.0216,1.0000,0.1561,-1.9306, 0.0000, 0.0000, 0.0000, 0.1949
 -9.000,-0.5168, 0.09658, 0.08956,-0.0206,1.0000,0.1698,-1.8425, 0.0000, 0.0000, 0.0000, 0.1957
 -8.500,-0.5420, 0.08461, 0.07765,-0.0271,1.0000,0.1742,-2.0015, 0.0000, 0.0000, 0.0000, 0.1861
 -8.000,-0.5604, 0.07374, 0.06684,-0.0316,1.0000,0.1802,-2.0996, 0.0000, 0.0000, 0.0000, 0.1804
 -7.500,-0.5851, 0.06303, 0.05615,-0.0362,1.0000,0.1902,-2.1923, 0.0000, 0.0000, 0.0000, 0.1757
 -7.000,-0.6644, 0.05007, 0.04306,-0.0416,1.0000,0.1949,-2.4393, 0.0000, 0.0000, 0.0000, 0.1762
 -6.500,-0.6979, 0.04428, 0.03725,-0.0356,1.0000,0.2060,-2.4460, 0.0000, 0.0000, 0.0000, 0.1887
 -6.000,-0.7497, 0.03918, 0.03192,-0.0249,1.0000,0.2156,-2.4927, 0.0000, 0.0000, 0.0000, 0.2075
 -5.500,-0.7635, 0.03524, 0.02782,-0.0147,1.0000,0.2306,-2.4322, 0.0000, 0.0000, 0.0000, 0.2221
 -5.000,-0.7664, 0.03210, 0.02450,-0.0045,1.0000,0.2547,-2.3476, 0.0000, 0.0000, 0.0000, 0.2362
 -4.500,-0.7574, 0.02935, 0.02154, 0.0048,1.0000,0.2852,-2.2324, 0.0000, 0.0000, 0.0000, 0.2490
 -4.000,-0.7337, 0.02741, 0.01962, 0.0130,1.0000,0.3250,-2.0706, 0.0000, 0.0000, 0.0000, 0.2610
 -3.500,-0.7051, 0.02585, 0.01802, 0.0202,1.0000,0.3722,-1.9062, 0.0000, 0.0000, 0.0000, 0.2726
 -3.000,-0.6695, 0.02483, 0.01702, 0.0265,1.0000,0.4253,-1.7450, 0.0000, 0.0000, 0.0000, 0.2841
 -2.500,-0.6218, 0.02427, 0.01661, 0.0308,0.9974,0.4836,-1.5646, 0.0000, 0.0000, 0.0000, 0.2945
 -2.000,-0.4964, 0.02418, 0.01666, 0.0224,0.9666,0.5674,-1.3020, 0.0000, 0.0000, 0.0000, 0.2904
 -1.500,-0.3802, 0.02434, 0.01706, 0.0170,0.9315,0.6393,-1.0895, 0.0000, 0.0000, 0.0000, 0.2903
 -1.000,-0.2599, 0.02447, 0.01726, 0.0113,0.8965,0.7085,-0.9104, 0.0000, 0.0000, 0.0000, 0.2892
 -0.500,-0.1397, 0.02462, 0.01750, 0.0066,0.8580,0.7685,-0.7597, 0.0000, 0.0000, 0.0000, 0.2936
  0.000,-0.0000, 0.02490, 0.01783,-0.0000,0.8162,0.8162,-0.6198, 0.0000, 0.0000, 0.0000,-0.2460
  0.500, 0.1397, 0.02462, 0.01750,-0.0066,0.7685,0.8580,-0.7597, 0.0000, 0.0000, 0.0000, 0.2936
  1.000, 0.2598, 0.02446, 0.01726,-0.0113,0.7085,0.8965,-0.9103, 0.0000, 0.0000, 0.0000, 0.2892
  1.500, 0.3801, 0.02434, 0.01706,-0.0170,0.6393,0.9316,-1.0895, 0.0000, 0.0000, 0.0000, 0.2903
  2.000, 0.4965, 0.02418, 0.01665,-0.0224,0.5674,0.9667,-1.3020, 0.0000, 0.0000, 0.0000, 0.2904
  2.500, 0.6219, 0.02426, 0.01660,-0.0308,0.4836,0.9975,-1.5646, 0.0000, 0.0000, 0.0000, 0.2945
  3.000, 0.6693, 0.02483, 0.01701,-0.0265,0.4254,1.0000,-1.7446, 0.0000, 0.0000, 0.0000, 0.2840
  3.500, 0.7049, 0.02584, 0.01802,-0.0202,0.3723,1.0000,-1.9058, 0.0000, 0.0000, 0.0000, 0.2725
  4.000, 0.7335, 0.02740, 0.01962,-0.0130,0.3251,1.0000,-2.0702, 0.0000, 0.0000, 0.0000, 0.2610
