xflr5 v6.59

 Calculated polar for: NACA 0007

 1 1 Reynolds number fixed          Mach number fixed         

 xtrf =   1.000 (top)        1.000 (bottom)
 Mach =   0.400     Re =     0.100 e 6     Ncrit =   9.000

alpha,CL,CD,CDp,Cm,Top Xtr,Bot Xtr,Cpmin,Chinge,XCp
 -6.500,-0.6896, 0.05428, 0.04836,-0.0150,1.0000,0.0722,-2.8846, 0.0000, 0.0000, 0.0000, 0.2248
 -6.000,-0.6671, 0.04427, 0.03806,-0.0147,1.0000,0.0677,-2.8961, 0.0000, 0.0000, 0.0000, 0.2248
 -5.500,-0.6384, 0.03502, 0.02775,-0.0133,1.0000,0.0632,-2.9993, 0.0000, 0.0000, 0.0000, 0.2259
 -5.000,-0.5947, 0.02818, 0.01983,-0.0108,1.0000,0.0640,-2.9232, 0.0000, 0.0000, 0.0000, 0.2288
 -4.500,-0.5420, 0.02328, 0.01410,-0.0082,1.0000,0.0749,-2.6845, 0.0000, 0.0000, 0.0000, 0.2320
 -4.000,-0.4871, 0.01937, 0.01001,-0.0057,1.0000,0.0941,-2.3705, 0.0000, 0.0000, 0.0000, 0.2356
 -3.500,-0.4370, 0.01621, 0.00700,-0.0027,1.0000,0.1498,-2.1304, 0.0000, 0.0000, 0.0000, 0.2415
 -3.000,-0.4015, 0.01250, 0.00540, 0.0024,1.0000,0.5345,-1.8683, 0.0000, 0.0000, 0.0000, 0.2539
 -2.500,-0.3598, 0.01164, 0.00539, 0.0106,1.0000,0.7998,-1.4918, 0.0000, 0.0000, 0.0000, 0.2775
 -2.000,-0.2533, 0.01214, 0.00556, 0.0068,1.0000,0.9502,-0.9948, 0.0000, 0.0000, 0.0000, 0.2748
 -1.500,-0.1116, 0.01179, 0.00460,-0.0098,1.0000,1.0000,-0.5689, 0.0000, 0.0000, 0.0000, 0.1593
 -1.000,-0.0727, 0.01129, 0.00396,-0.0074,1.0000,1.0000,-0.4328, 0.0000, 0.0000, 0.0000, 0.1454
 -0.500,-0.0353, 0.01103, 0.00364,-0.0041,1.0000,1.0000,-0.3364, 0.0000, 0.0000, 0.0000, 0.1326
  0.000, 0.0000, 0.01095, 0.00354, 0.0000,1.0000,1.0000,-0.2710, 0.0000, 0.0000, 0.0000,-0.3044
  0.500, 0.0353, 0.01103, 0.00364, 0.0041,1.0000,1.0000,-0.3364, 0.0000, 0.0000, 0.0000, 0.1326
  1.000, 0.0728, 0.01129, 0.00396, 0.0074,1.0000,1.0000,-0.4328, 0.0000, 0.0000, 0.0000, 0.1455
  1.500, 0.1116, 0.01179, 0.00460, 0.0098,1.0000,1.0000,-0.5690, 0.0000, 0.0000, 0.0000, 0.1594
  2.000, 0.2533, 0.01214, 0.00556,-0.0068,0.9502,1.0000,-0.9948, 0.0000, 0.0000, 0.0000, 0.2748
  2.500, 0.3597, 0.01164, 0.00539,-0.0106,0.7998,1.0000,-1.4917, 0.0000, 0.0000, 0.0000, 0.2775
  3.000, 0.4015, 0.01250, 0.00540,-0.0024,0.5346,1.0000,-1.8682, 0.0000, 0.0000, 0.0000, 0.2539
  3.500, 0.4370, 0.01621, 0.00700, 0.0027,0.1498,1.0000,-2.1303, 0.0000, 0.0000, 0.0000, 0.2415
  4.000, 0.4871, 0.01937, 0.01001, 0.0057,0.0941,1.0000,-2.3704, 0.0000, 0.0000, 0.0000, 0.2356
  4.500, 0.5420, 0.02328, 0.01410, 0.0082,0.0749,1.0000,-2.6845, 0.0000, 0.0000, 0.0000, 0.2320
  5.000, 0.5947, 0.02818, 0.01983, 0.0108,0.0640,1.0000,-2.9232, 0.0000, 0.0000, 0.0000, 0.2288
  5.500, 0.6384, 0.03503, 0.02775, 0.0133,0.0632,1.0000,-2.9993, 0.0000, 0.0000, 0.0000, 0.2259
  6.000, 0.6671, 0.04427, 0.03806, 0.0146,0.0677,1.0000,-2.8961, 0.0000, 0.0000, 0.0000, 0.2248
  6.500, 0.6801, 0.05588, 0.05049, 0.0127,0.0809,1.0000,-2.6382, 0.0000, 0.0000, 0.0000, 0.2281


